id_asuransi,nama_asuransi
A001,Sehat Aman
A002,MediCare Plus
A003,Prima Health
A004,Health Guard
A005,SafeLife
A006,Sehat Aman
A007,MediCare Plus
A008,Prima Health
A009,Health Guard
A010,SafeLife
A011,Sehat Aman
A012,MediCare Plus
A013,Prima Health
A014,Health Guard
A015,SafeLife
A016,Sehat Aman
A017,MediCare Plus
A018,Prima Health
A019,Health Guard
A020,SafeLife
A021,Sehat Aman
A022,MediCare Plus
A023,Prima Health
A024,Health Guard
A025,SafeLife
A026,Sehat Aman
A027,MediCare Plus
A028,Prima Health
A029,Health Guard
A030,SafeLife
A031,Sehat Aman
A032,MediCare Plus
A033,Prima Health
A034,Health Guard
A035,SafeLife
A036,Sehat Aman
A037,MediCare Plus
A038,Prima Health
A039,Health Guard
A040,SafeLife
