id_bukti,id_pembayaran,tanggal_bukti
BK001,BYR001,2026-04-01
BK002,BYR002,2026-04-02
BK003,BYR003,2026-04-03
BK004,BYR004,2026-04-04
BK005,BYR005,2026-04-05
BK006,BYR006,2026-04-06
BK007,BYR007,2026-04-07
BK008,BYR008,2026-04-08
BK009,BYR009,2026-04-09
BK010,BYR010,2026-04-10
BK011,BYR011,2026-04-11
BK012,BYR012,2026-04-12
BK013,BYR013,2026-04-13
BK014,BYR014,2026-04-14
BK015,BYR015,2026-04-15
BK016,BYR016,2026-04-16
BK017,BYR017,2026-04-17
BK018,BYR018,2026-04-18
BK019,BYR019,2026-04-19
BK020,BYR020,2026-04-20
BK021,BYR021,2026-04-21
BK022,BYR022,2026-04-22
BK023,BYR023,2026-04-23
BK024,BYR024,2026-04-24
BK025,BYR025,2026-04-25
BK026,BYR026,2026-04-26
BK027,BYR027,2026-04-27
BK028,BYR028,2026-04-28
BK029,BYR029,2026-04-29
BK030,BYR030,2026-04-30
BK031,BYR031,2026-05-01
BK032,BYR032,2026-05-02
BK033,BYR033,2026-05-03
BK034,BYR034,2026-05-04
BK035,BYR035,2026-05-05
BK036,BYR036,2026-05-06
BK037,BYR037,2026-05-07
BK038,BYR038,2026-05-08
BK039,BYR039,2026-05-09
BK040,BYR040,2026-05-10
