id_departemen,nama_departemen
DEP001,Kardiologi
DEP002,Neurologi
DEP003,Departemen 3
DEP004,Departemen 4
DEP005,Departemen 5
DEP006,Departemen 6
DEP007,Departemen 7
DEP008,Departemen 8
DEP009,Departemen 9
DEP010,Departemen 10
DEP011,Departemen 11
DEP012,Departemen 12
DEP013,Departemen 13
DEP014,Departemen 14
DEP015,Departemen 15
DEP016,Departemen 16
DEP017,Departemen 17
DEP018,Departemen 18
DEP019,Departemen 19
DEP020,Departemen 20
DEP021,Departemen 21
DEP022,Departemen 22
DEP023,Departemen 23
DEP024,Departemen 24
DEP025,Departemen 25
DEP026,Departemen 26
DEP027,Departemen 27
DEP028,Departemen 28
DEP029,Departemen 29
DEP030,Departemen 30
DEP031,Departemen 31
DEP032,Departemen 32
DEP033,Departemen 33
DEP034,Departemen 34
DEP035,Departemen 35
DEP036,Departemen 36
DEP037,Departemen 37
DEP038,Departemen 38
DEP039,Departemen 39
DEP040,Departemen 40
