id_dokter,nama_dokter,spesialisasi,id_departemen
D001,Dr. Budi,Kardiologi,DEP001
D002,Dr. Badu,Neurologi,DEP002
D003,Dr. Beduh,Neurologi,DEP002
D004,Dr. Amin,Neurologi,DEP002
D005,Dr. Dokter 5,Kardiologi,DEP001
D006,Dr. Dokter 6,Neurologi,DEP002
D007,Dr. Dokter 7,Kardiologi,DEP001
D008,Dr. Dokter 8,Neurologi,DEP002
D009,Dr. Dokter 9,Kardiologi,DEP001
D010,Dr. Dokter 10,Neurologi,DEP002
D011,Dr. Dokter 11,Kardiologi,DEP001
D012,Dr. Dokter 12,Neurologi,DEP002
D013,Dr. Dokter 13,Kardiologi,DEP001
D014,Dr. Dokter 14,Neurologi,DEP002
D015,Dr. Dokter 15,Kardiologi,DEP001
D016,Dr. Dokter 16,Neurologi,DEP002
D017,Dr. Dokter 17,Kardiologi,DEP001
D018,Dr. Dokter 18,Neurologi,DEP002
D019,Dr. Dokter 19,Kardiologi,DEP001
D020,Dr. Dokter 20,Neurologi,DEP002
D021,Dr. Dokter 21,Kardiologi,DEP001
D022,Dr. Dokter 22,Neurologi,DEP002
D023,Dr. Dokter 23,Kardiologi,DEP001
D024,Dr. Dokter 24,Neurologi,DEP002
D025,Dr. Dokter 25,Kardiologi,DEP001
D026,Dr. Dokter 26,Neurologi,DEP002
D027,Dr. Dokter 27,Kardiologi,DEP001
D028,Dr. Dokter 28,Neurologi,DEP002
D029,Dr. Dokter 29,Kardiologi,DEP001
D030,Dr. Dokter 30,Neurologi,DEP002
D031,Dr. Dokter 31,Kardiologi,DEP001
D032,Dr. Dokter 32,Neurologi,DEP002
D033,Dr. Dokter 33,Kardiologi,DEP001
D034,Dr. Dokter 34,Neurologi,DEP002
D035,Dr. Dokter 35,Kardiologi,DEP001
D036,Dr. Dokter 36,Neurologi,DEP002
D037,Dr. Dokter 37,Kardiologi,DEP001
D038,Dr. Dokter 38,Neurologi,DEP002
D039,Dr. Dokter 39,Kardiologi,DEP001
D040,Dr. Dokter 40,Neurologi,DEP002
