id_tim,nama_tim
T001,Tim Gercep
T002,Tim Medis 2
T003,Tim Medis 3
T004,Tim Medis 4
T005,Tim Medis 5
T006,Tim Medis 6
T007,Tim Medis 7
T008,Tim Medis 8
T009,Tim Medis 9
T010,Tim Medis 10
T011,Tim Medis 11
T012,Tim Medis 12
T013,Tim Medis 13
T014,Tim Medis 14
T015,Tim Medis 15
T016,Tim Medis 16
T017,Tim Medis 17
T018,Tim Medis 18
T019,Tim Medis 19
T020,Tim Medis 20
T021,Tim Medis 21
T022,Tim Medis 22
T023,Tim Medis 23
T024,Tim Medis 24
T025,Tim Medis 25
T026,Tim Medis 26
T027,Tim Medis 27
T028,Tim Medis 28
T029,Tim Medis 29
T030,Tim Medis 30
T031,Tim Medis 31
T032,Tim Medis 32
T033,Tim Medis 33
T034,Tim Medis 34
T035,Tim Medis 35
T036,Tim Medis 36
T037,Tim Medis 37
T038,Tim Medis 38
T039,Tim Medis 39
T040,Tim Medis 40
