id_tim,id_dokter
T001,D001
T001,D002
T001,D003
T002,D004
T002,D005
T002,D006
T003,D007
T003,D008
T003,D009
T004,D010
T004,D011
T004,D012
T005,D013
T005,D014
T005,D015
T006,D016
T006,D017
T006,D018
T007,D019
T007,D020
T007,D021
T008,D022
T008,D023
T008,D024
T009,D025
T009,D026
T009,D027
T010,D028
T010,D029
T010,D030
T011,D031
T011,D032
T011,D033
T012,D034
T012,D035
T012,D036
T013,D037
T013,D038
T013,D039
T014,D040
T014,D001
T014,D002
T015,D003
T015,D004
T015,D005
T016,D006
T016,D007
T016,D008
T017,D009
T017,D010
T017,D011
T018,D012
T018,D013
T018,D014
T019,D015
T019,D016
T019,D017
T020,D018
T020,D019
T020,D020
T021,D021
T021,D022
T021,D023
T022,D024
T022,D025
T022,D026
T023,D027
T023,D028
T023,D029
T024,D030
T024,D031
T024,D032
T025,D033
T025,D034
T025,D035
T026,D036
T026,D037
T026,D038
T027,D039
T027,D040
T027,D001
T028,D002
T028,D003
T028,D004
T029,D005
T029,D006
T029,D007
T030,D008
T030,D009
T030,D010
T031,D011
T031,D012
T031,D013
T032,D014
T032,D015
T032,D016
T033,D017
T033,D018
T033,D019
T034,D020
T034,D021
T034,D022
T035,D023
T035,D024
T035,D025
T036,D026
T036,D027
T036,D028
T037,D029
T037,D030
T037,D031
T038,D032
T038,D033
T038,D034
T039,D035
T039,D036
T039,D037
T040,D038
T040,D039
T040,D040
